opstina,mesto,ulica,cena,povrsina,cena_po_m2,broj_soba,stanje,sprat,grejanje,uknjizenost,parking_garaza,Lift,Terasa,Lodja,Tavan,Podrum,namesten,godina_izgradnje,X,Y
Stari Grad,Dorcol,Knez Miletina,87000,27,3222,1,Luksuz,1,Centralno,NA,0,1,0,0,0,0,NA,NA,44.81878,20.47122
Zemun,Gornji Grad,Milana Uzelca ,60000,27,2222,1,Luksuz,2,Centralno,Uknjizeno,1,0,1,0,0,0,NA,NA,44.84054,20.3935
Savski Venac,Beograd na vodi,Arcadia,140888,54,2609,1,NA,1,Centralno,NA,1,1,1,0,0,0,NA,NA,44.80921,20.45865
Vracar,Slavija,Beogradska,120000,45,2667,1,NA,NA,NA,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80494,20.46899
Vracar,Slavija,Njegoseva,115000,42,2738,1,NA,6,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80168,20.47226
Palilula,Tasmajdan,Kraljice Marije,112000,46,2435,1,NA,2,Centralno,Uknjizeno,0,1,0,1,0,0,NA,1965,44.80786,20.47699
Novi Beograd,Blok 22,Antifasisticke Borbe,110000,43,2558,1,NA,2,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80768,20.41902
Savski Venac,Slavija,Svetozara Markovica,110000,44,2500,1,NA,6,Etazno,Uknjizeno,0,1,1,0,0,1,Prazno,NA,44.80216,20.46215
Vracar,Tasmajdan,Svetozara Markovica,110000,44,2500,1,NA,6,Etazno,Uknjizeno,0,2,0,0,0,0,NA,NA,44.8066,20.46756
Vracar,Kalenic,Baba Visnjina,109000,34,3206,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2010,44.80119,20.47324
Stari Grad,Trg Republike,Kolarceva,108000,30,3600,1,NA,10,NA,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81522,20.46052
Stari Grad,Centar,Bulevar Despota Stefana,108000,42,2571,1,NA,2,Struja,Nije uknjizeno,0,0,1,0,0,1,Prazno,1928,44.81676,20.46746
Novi Beograd,Blok 67a - A Blok,Urosa Martinovica,107990,36,3000,1,NA,2,NA,Uknjizeno,0,1,0,0,0,0,NA,NA,44.80639,20.40153
Stari Grad,Centar,Decanska,105000,28,3750,1,NA,2,TA pec,Uknjizeno,0,1,0,1,0,0,NA,1957,44.81403,20.46294
Stari Grad,Trg Republike,Kolarceva,105000,30,3500,1,NA,10,Etazno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.81522,20.46052
Stari Grad,Donji Dorcol,Sibinjanin Janka,105000,40,2625,1,NA,5,Centralno,Nije uknjizeno,1,1,0,1,0,0,NA,2000,44.82729,20.45949
Vracar,Crveni Krst Vracar,Vojislava Ilica,102000,50,2040,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,NA,NA,44.79373,20.49424
Zvezdara,Lipov Lad,Vojislava Ilica,102000,50,2040,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,0,NA,2009,44.786,20.50041
Palilula,Cvijiceva,Jovana Avakumovica,98000,39,2513,1,NA,8,NA,Uknjizeno,0,1,1,0,0,0,Prazno,NA,44.81806,20.48015
Palilula,Tasmajdan,Dalmatinska,97474,37,2634,1,NA,4,NA,NA,0,NA,NA,NA,NA,NA,NA,2020,44.8128,20.47618
Savski Venac,Savamala,Beograd na vodi,95888,22,4359,1,NA,12,Centralno,NA,0,NA,NA,NA,NA,NA,NA,2019,44.80921,20.45865
Stari Grad,Gornji Dorcol,Kapetan Misina,95000,31,3065,1,NA,Prizemlje,Centralno,Nije uknjizeno,0,0,1,0,0,1,Prazno,NA,44.82274,20.46273
Stari Grad,Gornji Dorcol,Kapetan Misina,95000,31,3065,1,NA,Prizemlje,Centralno,Uknjizeno,0,1,1,0,0,0,Prazno,1952,44.82274,20.46273
Stari Grad,Skadarlija,Cara Dusana,95000,31,3065,1,NA,5,Etazno,Uknjizeno,0,1,0,0,0,0,Prazno,NA,44.82292,20.46092
Savski Venac,Beograd na vodi,Beograd na vodi,94999,31,3064,1,NA,4,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.80921,20.45865
Savski Venac,Beogradanka,Admirala Geprata,93000,40,2325,1,NA,1,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.80819,20.46038
Vracar,Slavija,Beogradska,92900,40,2323,1,NA,Prizemlje,Struja,Uknjizeno,0,1,1,0,0,0,NA,NA,44.80494,20.46899
Stari Grad,Terazije,Prizrenska,92000,28,3286,1,NA,6,TA pec,Uknjizeno,0,1,1,0,0,0,NA,NA,44.81377,20.45912
Stari Grad,Centar,Prizrenska,92000,30,3067,1,NA,6,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81377,20.45912
Novi Beograd,Blok 24,Bulevar arsenija carnojevica ,92000,36,2556,1,NA,3,Centralno,Uknjizeno,0,1,1,0,0,0,NA,1990,44.81227,20.42044
Zemun,Retenzija,Prve pruge,92000,40,2300,1,NA,1,Centralno,Uknjizeno,0,2,1,0,0,0,NA,1970,44.83621,20.41208
Novi Beograd,Blok 29,Bulevar Arsenija Carnojevica,91000,41,2220,1,NA,1,Centralno,Uknjizeno,0,1,1,0,0,1,Prazno,2000,44.81227,20.42044
Zvezdara,Lipov Lad,Trajka Stamenkovica,90200,35,2577,1,NA,Prizemlje,Centralno,NA,0,1,0,0,0,0,NA,2020,44.79545,20.49334
Stari Grad,Centar,Decanska,90000,26,3462,1,NA,6,Struja,Uknjizeno,0,1,0,0,0,0,NA,1989,44.81403,20.46294
Novi Beograd,Blok 12 - YUBC,Bulevar Mihajla Pupina,90000,39,2308,1,NA,3,Centralno,Uknjizeno,0,1,0,0,0,0,NA,NA,44.81613,20.43133
Novi Beograd,Blok 25 - Arena,Blok 25 - Arena,90000,41,2195,1,NA,1,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,44.81535,20.41593
Novi Beograd,Savski Blokovi,Nehruova,89900,45,1998,1,NA,1,Centralno,Uknjizeno,0,0,1,0,0,0,NA,NA,44.80481,20.37869
Zvezdara,Lipov Lad,Trajka Stamenkovica,89700,35,2563,1,NA,Prizemlje,Centralno,NA,0,1,0,0,0,0,NA,2020,44.79545,20.49334
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1,NA,1,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1,NA,2,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Zvezdara,Lipov Lad,Trajka Stamenkovica,89250,35,2550,1,NA,4,Centralno,NA,0,1,1,0,0,0,NA,2020,44.79545,20.49334
Stari Grad,Centar,Rige od Fere,89000,43,2070,1,NA,Potkrovlje,Struja,Uknjizeno,0,NA,NA,NA,NA,NA,Prazno,NA,44.82362,20.45688
Vracar,Slavija,Koce Kapetana,86900,30,2897,1,NA,1,Centralno,Uknjizeno,0,NA,NA,NA,NA,NA,Namesteno,NA,44.80157,20.47284
Savski Venac,Beograd na vodi,Arcadia,85888,28,3067,1,NA,1,Centralno,NA,1,1,1,0,0,0,NA,NA,44.80921,20.45865
Vracar,Cvetni Trg,Krunska,85000,24,3542,1,NA,NA,Centralno,Uknjizeno,0,0,1,0,0,1,Prazno,1938,44.80557,20.46975
Zvezdara,Lion,Koste Abrasevic,85000,32,2656,1,NA,4,NA,Uknjizeno,0,NA,NA,NA,NA,NA,NA,NA,44.7935,20.50015
